id,cds_faithful,cds_distracted,cds_diff,len_faithful,len_distracted,len_diff,context_drop,question_rise,total_shift
0,0.6948760583165318,0.7081698767184335,-0.013293818401901691,540,1141,-601,27.05684980750084,-18.504519820213318,8.552329987287521
1,0.734327201082216,0.6922688961517584,0.0420583049304577,787,800,-13,-6.000076584517956,8.299104034900665,2.2990274503827095
2,0.659064064965342,0.7508162073863963,-0.09175214242105434,738,892,-154,-156.2362266033888,43.567169189453125,-112.66905741393566
3,0.7491581059775769,0.6943775058961928,0.05478060008138408,1779,704,1075,82.47701172530651,-14.690004765987396,67.78700695931911
4,0.7133177579238427,0.7841161884848658,-0.07079843056102308,858,875,-17,38.08902055770159,-28.879786908626556,9.209233649075031
5,0.7908145674004493,0.6445889306520023,0.14622563674844702,1017,509,508,28.89204376935959,40.64309561252594,69.53513938188553
6,0.8107853048636545,0.7334078452635129,0.07737745960014164,1073,527,546,88.62227357923985,1.5920557379722595,90.2143293172121
7,0.7719046600650392,0.8706564757612353,-0.09875181569619607,394,1103,-709,-0.28799501061439514,-35.922857254743576,-36.21085226535797
8,0.7152551797160192,0.7495858439519344,-0.03433066423591524,519,540,-21,54.06946864724159,-26.464555501937866,27.604913145303726
9,0.8264066695166805,0.7733957913995734,0.05301087811710714,1034,463,571,189.48965328931808,-22.31895136833191,167.17070192098618
10,0.7721474225842554,0.5985125459626948,0.17363487662156063,627,264,363,233.8987993001938,-19.343722105026245,214.55507719516754
11,0.8560024851668478,0.7782991991985392,0.07770328596830867,795,1172,-377,53.01045050472021,15.483841955661774,68.49429246038198
12,0.7486104180865761,0.7897073776248099,-0.04109695953823378,593,627,-34,-105.74239706993103,24.63805365562439,-81.10434341430664
13,0.7492143124953276,0.8001674906992037,-0.050953178203876126,574,635,-61,81.13322132825851,-40.164246797561646,40.96897453069687
14,0.8730841928258077,0.8358112258107353,0.037272967015072433,1103,917,186,128.34547448158264,-7.702858030796051,120.64261645078659
15,0.8050625876390517,0.6906298837906935,0.11443270384835824,881,845,36,56.982582449913025,6.340647667646408,63.32323011755943
16,0.8121452101756337,0.7435997641946723,0.06854544598096135,852,688,164,-16.604394644498825,31.5865997672081,14.982205122709274
17,0.8176963527657365,0.7262939720656809,0.09140238070005557,1024,815,209,16.462024182081223,16.246221035718918,32.70824521780014
18,0.7986542494338391,0.6603895255068422,0.13826472392699696,554,1271,-717,80.641201980412,9.514238774776459,90.15544075518847
19,0.7790657731286587,0.8051024473786228,-0.026036674249964142,636,791,-155,155.62572833895683,-49.63144463300705,105.99428370594978
20,0.8488048211923943,0.7997137810623819,0.04909104013001242,658,759,-101,-99.55121414363384,33.611868262290955,-65.93934588134289
21,0.7629896066140114,0.9244846179970663,-0.1614950113830549,519,917,-398,-206.6836771517992,-11.893200695514679,-218.57687784731388
22,0.8791321493405471,0.786467229745692,0.09266491959485501,838,690,148,17.872164621949196,16.996679544448853,34.86884416639805
23,0.7981993393843423,0.638191107765507,0.16000823161883526,598,622,-24,78.87770368158817,10.286284744739532,89.1639884263277
24,0.6916339109535597,0.7649240274438625,-0.0732901164903027,800,326,474,-71.14735694229603,14.649820566177368,-56.49753637611866
25,0.8090211058285681,0.6741258056350088,0.13489530019355933,797,677,120,-0.6155989021062851,38.06739890575409,37.451800003647804
26,0.7609327837273909,0.4585810217183768,0.30235176200901415,924,176,748,139.09200152754784,30.72747954726219,169.81948107481003
27,0.746992822047845,0.6581631189267704,0.08882970312107463,1190,699,491,47.90068922936916,9.125031232833862,57.025720462203026
28,0.7657295309240758,0.8537228666690353,-0.08799333574495949,704,697,7,-173.72870092093945,7.988106429576874,-165.74059449136257
29,0.7634427080077698,0.7500823110287729,0.013360396978996936,622,702,-80,31.034710735082626,-8.684721827507019,22.349988907575607
30,0.8679129140213687,0.7727177456199591,0.09519516840140962,687,610,77,69.77204683423042,31.570371627807617,101.34241846203804
31,0.7539767490603922,0.6242195273031765,0.1297572217572157,568,762,-194,13.170830875635147,46.355512887239456,59.5263437628746
32,0.8006098640819427,0.7544199976569445,0.04618986642499823,257,598,-341,66.94109663367271,-8.455241978168488,58.48585465550423
33,0.7061932395466574,0.80707434853596,-0.10088110898930269,527,881,-354,-74.59627476334572,6.692632704973221,-67.9036420583725
34,0.773360410258691,0.7024766388520578,0.07088377140663316,638,1220,-582,-65.62875759601593,39.069529205560684,-26.559228390455246
35,0.7233726944318639,0.7422093967055936,-0.01883670227372969,610,896,-286,52.14184173941612,-29.164827048778534,22.97701469063759
36,0.8060563038739249,0.8142321894383869,-0.008175885564462027,971,1137,-166,222.97615487873554,-59.15163737535477,163.82451750338078
37,0.7401366569847694,0.7646044830201293,-0.024467826035359908,776,568,208,45.04034127295017,-22.43918764591217,22.601153627038002
38,0.6974803519875975,0.7620796198676592,-0.06459926788006165,543,658,-115,-75.08168292045593,7.3312671184539795,-67.75041580200195
39,0.7522491258319907,0.8125379533171037,-0.060288827485112995,762,1245,-483,-17.020777583122253,-10.392524242401123,-27.413301825523376
40,0.7267193300123436,0.7306727571354396,-0.003953427123095987,549,610,-61,-67.44415424764156,26.44392141699791,-41.000232830643654
41,0.8435500441315473,0.8670611883010245,-0.023511144169477194,759,809,-50,-385.93978706002235,57.01333570480347,-328.9264513552189
42,0.6632958964207768,0.7953930350089072,-0.13209713858813044,509,2012,-1503,-21.63556130975485,-20.030326157808304,-41.66588746756315
43,0.6253568629975212,0.7938039704928778,-0.16844710749535652,176,509,-333,-86.07845732569695,-3.1793946027755737,-89.25785192847252
44,0.7893522752845334,0.6474755365665021,0.1418767387180313,818,464,354,9.227186664938927,27.136914134025574,36.3641007989645
45,0.8528868623091707,0.6510129550800505,0.20187390722912013,809,892,-83,120.19142207503319,52.15864598751068,172.35006806254387
