id,cds_faithful,cds_distracted,cds_diff,len_faithful,len_distracted,len_diff,context_drop,question_rise,total_shift
0,0.7127568241646673,0.6771462529168916,0.03561057124777578,3105,2959,146,58.50303029967472,-12.989842474460602,45.51318782521412
1,0.8784852998686782,0.8690396606890585,0.009445639179619714,2830,5352,-2522,-9.17609087144956,2.8770023584365845,-6.2990885130129755
2,0.7917550097246385,0.7547664490313633,0.036988560693275274,3295,2921,374,13.700894761830568,3.075376734137535,16.776271495968103
3,0.7354642753269292,0.7875915601534851,-0.05212728482655593,3066,2721,345,47.89441372640431,-28.698822379112244,19.195591347292066
4,0.42752216690534023,0.7281730369871137,-0.30065087008177344,2567,3442,-875,-37.501012788619846,-56.13390472717583,-93.63491751579568
5,0.758830709316839,0.7230532287401973,0.03577748057664176,3133,3475,-342,-103.60316061181948,42.209940046072006,-61.39322056574747
6,0.8360690046969221,0.8503838694691574,-0.014314864772235314,3717,5289,-1572,-90.0727593167685,13.29627588391304,-76.77648343285546
7,0.9221211297105819,0.7582264092714238,0.1638947204391581,5354,3025,2329,111.7724445075728,7.427699580788612,119.20014408836141
8,0.822871118645074,0.764887589049727,0.05798352959534703,3158,2768,390,3.9567918041720986,4.857959493994713,8.814751298166811
9,0.9061604062200872,0.6545288414759014,0.2516315647441858,2758,2959,-201,47.00545181101188,26.2791106402874,73.28456245129928
10,0.6777381509600598,0.749287822350376,-0.0715496713903162,3668,2991,677,-4.116482338635251,-10.502661302685738,-14.619143641320989
11,0.4177137597264765,0.03446646744316316,0.38324729228331333,3723,1995,1728,83.42385850846767,-48.06389066297561,35.359967845492065
12,0.8117142901468837,0.8971772673790496,-0.0854629772321659,2881,3149,-268,-283.5161880822852,19.775636568665504,-263.7405515136197
13,0.8673448113787791,0.7746468744691314,0.09269793690964767,5145,3256,1889,-9.170765585731715,19.54436883330345,10.373603247571737
14,0.8459619663081784,0.8147386520811032,0.03122331422707525,3495,3307,188,-8.326192080974579,6.603784114122391,-1.722407966852188
15,0.8223160812624579,0.6742385517872567,0.14807752947520125,3131,3216,-85,-18.7924940623343,33.36067685484886,14.568182792514563
